ShapeId,Type,W,A,d,Ht,h,OD,bf,B,b,ID,tw,tf,t,tnom,tdes,kdes,x,y,eo,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tanAlpha,Qs,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
W44X335,W,335,98.5,44.0,0,0,0,15.9,0,0,0,1.03,1.77,0,0,0,2.56,0,0,0,0,0,31100,1620,1410,17.8,1200,236,150,3.49,0,0,0,74.7,535000,0,168,1180,0,0,278,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,42.2,132,148
W44X290,W,290,85.4,43.6,0,0,0,15.8,0,0,0,0.865,1.58,0,0,0,2.36,0,0,0,0,0,27000,1410,1240,17.8,1040,205,132,3.49,0,0,0,50.9,461000,0,166,1040,0,0,248,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20,42.0,131,147
W44X262,W,262,77.2,43.3,0,0,0,15.8,0,0,0,0.785,1.42,0,0,0,2.20,0,0,0,0,0,24100,1270,1110,17.7,923,182,117,3.47,0,0,0,37.3,405000,0,165,928,0,0,223,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,41.9,131,147
W44X230,W,230,67.8,42.9,0,0,0,15.8,0,0,0,0.710,1.22,0,0,0,2.01,0,0,0,0,0,20800,1100,971,17.5,796,157,101,3.43,0,0,0,24.9,346000,0,165,793,0,0,192,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,41.7,130,146
W40X593,W,593,174,43.0,0,0,0,16.7,0,0,0,1.79,3.23,0,0,0,4.41,0,0,0,0,0,50400,2760,2340,17,2520,481,302,3.8,0,0,0,445,997000,0,166,2240,0,0,479,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,39.8,130,147
W40X503,W,503,148,42.1,0,0,0,16.4,0,0,0,1.54,2.76,0,0,0,3.94,0,0,0,0,0,41600,2320,1980,16.8,2040,394,249,3.72,0,0,0,277,789000,0,161,1830,0,0,403,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50,39.3,129,145
W40X431,W,431,127,41.3,0,0,0,16.2,0,0,0,1.34,2.36,0,0,0,3.54,0,0,0,0,0,34800,1960,1690,16.6,1690,328,208,3.65,0,0,0,177,638000,0,158,1510,0,0,341,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,38.9,127,143
W40X397,W,397,117,41.0,0,0,0,16.1,0,0,0,1.22,2.20,0,0,0,3.38,0,0,0,0,0,32000,1800,1560,16.6,1540,300,191,3.64,0,0,0,142,579000,0,156,1380,0,0,318,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,38.8,126,142
W40X372,W,372,110,40.6,0,0,0,16.1,0,0,0,1.16,2.05,0,0,0,3.23,0,0,0,0,0,29600,1680,1460,16.5,1420,277,177,3.6,0,0,0,116,528000,0,155,1280,0,0,295,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,38.6,125,141
W40X362,W,362,106,40.6,0,0,0,16.0,0,0,0,1.12,2.01,0,0,0,3.19,0,0,0,0,0,28900,1640,1420,16.5,1380,270,173,3.6,0,0,0,109,513000,0,154,1240,0,0,289,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,38.6,125,141
