1,1,DF,L3,1.5,0.79,560,950,1550,1250,1450,1250,1000,230,1250,265,0.5
2,2,DF,L2,1.6,0.85,560,1250,1950,1600,1800,1600,1300,230,1700,265,0.5
3,3,DF,L2D,1.9,1,650,1450,2300,1900,2100,1850,1550,230,2000,265,0.5
4,4,DF,L1CL,1.9,1,590,1400,2100,1950,2200,2000,1650,230,2100,265,0.5
5,5,DF,L1,2,1.06,650,1650,2400,2100,2400,2100,1800,230,2200,265,0.5
14,14,HF,L3,1.3,0.69,375,800,1100,1050,1200,1050,850,190,1100,215,0.43
15,15,HF,L2,1.4,0.74,375,1050,1350,1350,1500,1350,1100,190,1450,215,0.43
16,16,HF,L1,1.6,0.85,375,1200,1500,1500,1750,1550,1300,190,1600,215,0.43
17,17,HF,L1D,1.7,0.9,500,1400,1750,1750,2000,1850,1550,190,1900,215,0.43
22,22,SW,L3,1,0.53,315,525,850,725,800,700,575,170,725,195,0.35
69,69,AC,L3,1.2,0.63,470,725,1150,1100,1100,975,775,230,1000,265,0.46
70,70,AC,L2,1.3,0.69,470,975,1450,1450,1400,1250,1000,230,1350,265,0.46
71,71,AC,L1D,1.6,0.85,560,1250,1900,1900,1850,1650,1400,230,1750,265,0.46
72,72,AC,L1S,1.6,0.85,560,1250,1900,1900,1850,1650,1400,230,1900,265,0.46
73,73,POC,L3,1.3,0.69,470,775,1500,1200,1200,1050,825,230,1050,265,0.46
74,74,POC,L2,1.4,0.74,470,1050,1900,1550,1450,1300,1100,230,1400,265,0.46
75,75,POC,L1D,1.7,0.9,560,1350,2300,2050,1950,1750,1500,230,1850,265,0.46
47,47,SP,N2M12,1.4,0.74,650,1200,1900,1150,1750,1550,1300,260,1400,300,0.55
47_1_10,47 1:10,SP,N2M10,1.4,0.74,650,1150,1700,1150,1750,1550,1300,260,1400,300,0.55
47_1_8,47 1:8,SP,N2M,1.4,0.74,650,1000,1500,1150,1600,1550,1300,260,1400,300,0.55
48,48,SP,N2D12,1.7,0.9,740,1400,2200,1350,2000,1800,1500,260,1600,300,0.55
48_1_10,48 1:10,SP,N2D10,1.7,0.9,740,1350,2000,1350,2000,1800,1500,260,1600,300,0.55
48_1_8,48 1:8,SP,N2D,1.7,0.9,740,1150,1750,1350,1850,1800,1500,260,1600,300,0.55
49,49,SP,N1M16,1.7,0.9,650,1350,2100,1450,1950,1750,1500,260,1800,300,0.55
49_1_14,49 1:14,SP,N1M14,1.7,0.9,650,1350,2000,1450,1950,1750,1500,260,1800,300,0.55
49_1_12,49 1:12,SP,N1M12,1.7,0.9,650,1300,1900,1450,1950,1750,1500,260,1800,300,0.55
49_1_10,49 1:10,SP,N1M,1.7,0.9,650,1150,1700,1450,1850,1750,1500,260,1800,300,0.55
50,50,SP,N1D14,1.9,1,740,1550,2300,1700,2300,2100,1750,260,2100,300,0.55
50_1_12,50 1:12,SP,N1D12,1.9,1,740,1500,2200,1700,2300,2100,1750,260,2100,300,0.55
50_1_10,50 1:10,SP,N1D,1.9,1,740,1350,2000,1700,2100,2100,1750,260,2100,300,0.55
